variable,F1_solo,AUC_solo,leakage
avg_pkt_size,0.9731045289556214,0.9968835888211794,True
f_bytes,0.8264056765300556,0.9831898340238621,False
n_bytes,0.8133965936649481,0.9824479868328438,False
duration,0.7724350665104142,0.8249157431089383,False
f_pkts,0.6711244178144858,0.7876801104649999,False
n_pkts,0.6511761585822884,0.8003931021141147,False
state,0.5791452531947872,0.8896813366240993,False
b_bytes,0.29472936732017085,0.6494782137831366,False
b_pkts,0.2944133012549558,0.6383245817878945,False
