r,features,f1_macro,auc
3,sourceAddress + sourceLocation + destinationServiceAddress,0.641349935424111,0.9210077194048985
3,sourceAddress + sourceLocation + accessedNodeAddress,0.641349935424111,0.9210077194048985
3,destinationServiceType + destinationLocation + accessedNodeType,0.6411608066813871,0.9194484869920844
2,sourceID + sourceLocation,0.6392598310269906,0.9391760991467981
3,sourceAddress + sourceType + destinationLocation,0.636391038733182,0.9186882629580152
3,destinationLocation + accessedNodeAddress + accessedNodeType,0.6361412101948098,0.881705738300513
3,destinationServiceAddress + destinationLocation + accessedNodeType,0.6361412101948098,0.881705738300513
3,destinationLocation + accessedNodeAddress + value,0.6334659626657205,0.930528395142335
2,destinationServiceAddress + value,0.6334659626657205,0.9298123127192757
2,accessedNodeAddress + value,0.6334659626657205,0.9299374644714632
3,destinationServiceAddress + destinationLocation + value,0.6334659626657205,0.9304045781977971
3,destinationServiceAddress + accessedNodeAddress + value,0.6334659626657205,0.9299374644714632
3,sourceAddress + sourceLocation + destinationLocation,0.6268181398633182,0.9135362952288395
3,sourceLocation + destinationLocation + value,0.624791133538702,0.9317695562950276
2,sourceAddress + destinationLocation,0.6247388476184301,0.9066742406847474
3,sourceAddress + accessedNodeAddress + value,0.6242912961177219,0.9331356162696516
3,sourceAddress + destinationServiceAddress + value,0.6242912961177219,0.9331356162696516
3,sourceAddress + accessedNodeType + value,0.6225701261408332,0.9498857597397828
3,sourceAddress + sourceLocation + destinationServiceType,0.617340448782285,0.9263559974150374
3,sourceLocation + destinationServiceType + accessedNodeType,0.6163542505856476,0.9297800030119558
3,sourceLocation + destinationServiceAddress + destinationServiceType,0.6146600704219762,0.9249859708518589
3,sourceLocation + destinationServiceType + accessedNodeAddress,0.6146600704219762,0.9252067416990147
2,sourceLocation + destinationServiceType,0.6144534458274602,0.9238748839528809
3,sourceType + sourceLocation + accessedNodeType,0.6141676599105734,0.9520632516525037
3,sourceAddress + destinationLocation + value,0.6138273645160195,0.932693833260041
3,sourceLocation + destinationServiceType + operation,0.6134689301875447,0.9234723510474507
3,sourceLocation + destinationServiceType + destinationLocation,0.6133143804960834,0.9277206493309669
3,destinationServiceAddress + operation + value,0.611686917108068,0.9351970710286122
3,accessedNodeAddress + operation + value,0.611686917108068,0.9351970710286122
2,sourceLocation + value,0.6084206514340442,0.9266381820320019
3,destinationServiceType + accessedNodeType + value,0.6073691108990357,0.9547770931511155
3,destinationServiceType + operation + value,0.6064835394034256,0.9548816792973387
3,sourceType + destinationServiceType + value,0.6053450113653851,0.959955405907053
3,sourceAddress + destinationLocation + operation,0.605071784072211,0.9030851255161954
2,destinationServiceType + value,0.6043890137209639,0.9456777732397124
3,destinationServiceType + destinationLocation + value,0.6037643435706185,0.9465205738064519
3,sourceType + accessedNodeType + value,0.6035629988556463,0.9561137970047777
3,sourceAddress + operation + value,0.6024447704564213,0.9459163282845242
2,sourceType + value,0.5992971650132757,0.9468088473631304
3,sourceLocation + destinationLocation + operation,0.5985922907161318,0.8941162176023866
2,sourceLocation + destinationLocation,0.5971085186959735,0.893259488371404
3,destinationServiceAddress + destinationLocation + accessedNodeAddress,0.5969372721997772,0.8764826798953566
2,destinationLocation + accessedNodeAddress,0.5969372721997772,0.8764826798953566
2,destinationServiceAddress + destinationLocation,0.5969259561220328,0.8765057141253948
2,destinationLocation + operation,0.5952776622980471,0.8687330272934085
2,sourceAddress + value,0.5947449065095928,0.9412283532304645
3,sourceType + operation + value,0.5876897033937344,0.9485141263802147
3,sourceType + sourceLocation + operation,0.5834469003606875,0.9359736463657867
3,destinationLocation + operation + value,0.5807021062760432,0.9367226500733056
3,sourceLocation + destinationServiceAddress + value,0.5806933809729351,0.9327300722974584
3,sourceLocation + accessedNodeAddress + value,0.5806933809729351,0.9327300722974584
3,sourceLocation + accessedNodeType + value,0.5806270656588467,0.9165851238478175
3,accessedNodeAddress + accessedNodeType + operation,0.5784071147329545,0.8515403245077147
3,destinationServiceAddress + accessedNodeType + operation,0.5784071147329545,0.8515403245077147
3,sourceType + destinationServiceType + operation,0.5758887140119235,0.9378830750239073
3,sourceType + destinationServiceType + destinationLocation,0.5758833952421683,0.9310807719428162
3,destinationLocation + accessedNodeType + operation,0.574000140630029,0.8729231505226333
2,sourceType + destinationServiceType,0.5737282435652817,0.9284528074293773
3,sourceAddress + sourceType + destinationServiceType,0.5737282435652817,0.9303380709852529
3,sourceLocation + operation + value,0.5735891637834483,0.9426436774434042
3,destinationLocation + accessedNodeType + value,0.5730969917641454,0.928458116551772
2,destinationLocation + accessedNodeType,0.5677643795531833,0.866688774220006
2,accessedNodeAddress + accessedNodeType,0.5673553891509572,0.8420157629749132
2,destinationServiceAddress + accessedNodeType,0.5673553891509572,0.8420157629749132
3,destinationServiceAddress + accessedNodeAddress + accessedNodeType,0.5673553891509572,0.8420157629749132
3,sourceID + sourceAddress + destinationServiceAddress,0.5661067837995113,0.9409941782820905
3,sourceID + sourceAddress + accessedNodeAddress,0.5657833573360426,0.9410150582277538
2,sourceID + destinationServiceAddress,0.5647267242477116,0.9368898666631594
3,sourceID + sourceType + destinationServiceAddress,0.5647267242477116,0.9368898666631594
2,sourceID + accessedNodeAddress,0.5644033291183583,0.936654903979259
3,sourceID + sourceType + accessedNodeAddress,0.5644033291183583,0.936654903979259
3,sourceID + destinationServiceAddress + accessedNodeAddress,0.5644033291183583,0.936654903979259
3,sourceAddress + destinationServiceType + destinationLocation,0.5628769585176381,0.9108956974730177
2,destinationLocation + value,0.5623911627621345,0.9203373509020205
3,sourceLocation + destinationLocation + accessedNodeAddress,0.5590859144310203,0.8896281016939735
3,sourceLocation + destinationServiceAddress + destinationLocation,0.5590859144310203,0.8891388877600745
3,destinationServiceType + destinationLocation + operation,0.5557600422644382,0.8783836479972695
3,sourceID + sourceAddress + destinationLocation,0.5542274734084448,0.937311414093067
3,sourceAddress + sourceLocation + value,0.5539391885948983,0.9171743029047583
3,destinationServiceType + destinationLocation + accessedNodeAddress,0.5539335812081816,0.8732723163063746
2,destinationServiceType + destinationLocation,0.5539335812081816,0.8694678178141956
3,destinationServiceAddress + destinationServiceType + destinationLocation,0.5539335812081816,0.8688128285810217
2,sourceID + sourceAddress,0.5518364782213347,0.9343490738003861
3,sourceID + sourceAddress + sourceType,0.5518364782213347,0.9343490738003861
3,sourceAddress + accessedNodeAddress + accessedNodeType,0.5500233447164563,0.8683375801089956
3,sourceAddress + destinationServiceAddress + accessedNodeType,0.5500110998588731,0.8683288105662635
3,sourceType + sourceLocation + destinationLocation,0.546281003047233,0.9046829802962305
3,sourceLocation + accessedNodeType + operation,0.5454264336454809,0.891846697332005
2,sourceAddress + destinationServiceType,0.5428849971964332,0.9095215599010616
2,sourceAddress + sourceType,0.5296902096878812,0.9046824139144032
3,sourceAddress + destinationServiceType + operation,0.5296335122530993,0.9117172631937503
3,sourceType + destinationServiceAddress + destinationLocation,0.5278777687817773,0.9150273385666363
3,sourceType + destinationLocation + accessedNodeAddress,0.5278611635025834,0.9150156712691524
2,sourceID + sourceType,0.5271443768055937,0.9271031146154174
3,sourceAddress + sourceType + destinationServiceAddress,0.5259723315081777,0.9123038277747636
3,sourceAddress + sourceType + accessedNodeAddress,0.5259559337363372,0.9133623931954341
3,sourceLocation + destinationLocation + accessedNodeType,0.523628631314511,0.8938394298888094
2,accessedNodeAddress + operation,0.5204796563799612,0.8339464389469733
3,destinationServiceAddress + accessedNodeAddress + operation,0.5204796563799612,0.8339464389469733
2,destinationServiceAddress + operation,0.5204796563799612,0.8339464389469733
2,accessedNodeType + value,0.5201844410568724,0.8908138992438506
3,accessedNodeType + operation + value,0.5201043745221199,0.9002118270211963
2,sourceType + destinationServiceAddress,0.5172340225611824,0.908121050128341
3,sourceAddress + accessedNodeType + operation,0.5164897357360833,0.8626888638892286
2,sourceAddress + accessedNodeType,0.5164897357360833,0.8626888638892286
2,sourceType + accessedNodeAddress,0.5160416069432843,0.9063221025882908
3,sourceType + destinationServiceAddress + accessedNodeAddress,0.5160416069432843,0.9063221025882908
3,sourceLocation + destinationServiceAddress + operation,0.514915935528353,0.881005078634467
3,sourceLocation + accessedNodeAddress + operation,0.514915935528353,0.8810171636671683
3,sourceLocation + destinationServiceAddress + accessedNodeAddress,0.514287633113734,0.878090870610824
2,sourceLocation + destinationServiceAddress,0.514287633113734,0.8776347470857709
2,sourceLocation + accessedNodeAddress,0.514287633113734,0.878090870610824
2,destinationServiceAddress + accessedNodeAddress,0.5106954970444418,0.8283446764241214
3,sourceType + sourceLocation + destinationServiceAddress,0.5087341176701602,0.9114665573100993
3,sourceType + sourceLocation + accessedNodeAddress,0.5087341176701602,0.9119241928300946
2,sourceLocation + accessedNodeType,0.5062773157324459,0.8729833762049356
3,sourceType + destinationServiceType + accessedNodeType,0.506237548929383,0.9423385900212498
2,sourceType + destinationLocation,0.504985664419251,0.9132281043520216
3,sourceLocation + destinationServiceAddress + accessedNodeType,0.5048479499188901,0.8957430328276796
3,sourceLocation + accessedNodeAddress + accessedNodeType,0.5048479499188901,0.8957430328276796
2,sourceType + sourceLocation,0.5003397810040556,0.8920193198354578
3,sourceAddress + sourceType + sourceLocation,0.4984849931867773,0.9079000299327653
2,operation + value,0.497941040676395,0.8899386116945452
3,sourceAddress + sourceLocation + operation,0.49038804205916026,0.878907473319565
3,sourceAddress + sourceLocation + accessedNodeType,0.4900904016065518,0.8969764210026542
2,sourceAddress + sourceLocation,0.4897206326478935,0.8722642171837741
2,destinationServiceType + accessedNodeType,0.4876754440626575,0.8270561784110674
2,sourceLocation + operation,0.47566419924817616,0.8497613220350143
3,sourceAddress + accessedNodeAddress + operation,0.4603223627371914,0.852447306432819
3,sourceAddress + destinationServiceAddress + operation,0.4603223627371914,0.852447306432819
2,sourceAddress + accessedNodeAddress,0.45844001970984943,0.8501285486794877
3,sourceAddress + destinationServiceAddress + accessedNodeAddress,0.45844001970984943,0.8501285486794877
2,sourceAddress + destinationServiceAddress,0.45843336527817585,0.8501202958364911
3,destinationServiceType + accessedNodeType + operation,0.438915971324097,0.8697812979214982
2,destinationServiceType + operation,0.43538160458056974,0.8384654325615969
2,sourceAddress + operation,0.3904074642697394,0.8390309355278296
2,accessedNodeType + operation,0.3800121277352711,0.7815992896528875
